name,Count!!RACE!!Total population,Count!!HISPANIC OR LATINO BY RACE!!Total population!!Not Hispanic or Latino!!Two or More Races,Count!!HISPANIC OR LATINO BY RACE!!Total population!!Not Hispanic or Latino!!American Indian and Alaska Native alone,Count!!HISPANIC OR LATINO BY RACE!!Total population!!Not Hispanic or Latino!!Native Hawaiian and Other Pacific Islander alone,Count!!HISPANIC OR LATINO BY RACE!!Total population!!Not Hispanic or Latino!!Black or African American alone,Count!!HISPANIC OR LATINO BY RACE!!Total population!!Not Hispanic or Latino!!Asian alone,Count!!HISPANIC OR LATINO BY RACE!!Total population!!Hispanic or Latino,Count!!HISPANIC OR LATINO BY RACE!!Total population!!Not Hispanic or Latino!!White alone,Zip Code Area
ZCTA5 86335,5229,288,158,4,14,46,903,3790,86335
ZCTA5 86336,11125,387,60,3,61,249,1315,8985,86336
ZCTA5 86337,1312,59,46,0,13,12,166,1010,86337
ZCTA5 86338,587,24,6,0,2,3,70,474,86338
ZCTA5 86343,88,5,0,0,0,0,7,76,86343
ZCTA5 86351,6398,199,56,10,44,136,536,5386,86351
ZCTA5 86401,27684,1334,399,51,314,451,3632,21389,86401
ZCTA5 86403,17787,741,123,25,116,175,3076,13496,86403
ZCTA5 86404,18312,687,106,24,87,188,2263,14898,86404
ZCTA5 86406,24935,951,170,26,121,287,2994,20305,86406
ZCTA5 86409,28860,1471,375,76,272,431,3945,22197,86409
ZCTA5 86411,202,7,3,0,0,0,10,182,86411
ZCTA5 86413,13436,670,215,18,270,115,2316,9781,86413
ZCTA5 86426,15953,699,143,22,195,259,2907,11679,86426
ZCTA5 86429,7708,302,52,16,152,112,1239,5820,86429
ZCTA5 86431,417,12,5,1,1,3,48,342,86431
ZCTA5 86432,3158,65,43,0,17,13,798,2217,86432
ZCTA5 86433,127,6,0,0,0,1,2,118,86433
ZCTA5 86434,1424,18,1197,0,5,4,85,112,86434
ZCTA5 86435,224,5,178,1,6,0,11,23,86435
